name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,month,year,day,dayofweek
"Hà Nội, Việt Nam",2000-02-15,19.2,16.1,18.0,19.2,16.1,18.0,15.2,83.6,0.0,0.0,0.0,['rain'],0.0,0.0,33.5,21.6,57.9,,91.5,10.4,112.5,9.7,4.0,60.0,06:27:27,17:54:22,0.34,Overcast,Cloudy skies throughout the day.,cloudy,"['48823099999', '48820099999']",2,2000,15,1
"Hà Nội, Việt Nam",2000-02-16,17.4,14.1,15.4,17.4,14.1,15.4,14.6,95.3,0.8,100.0,8.33,['rain'],0.0,0.0,33.5,18.0,54.3,,93.3,3.9,112.5,9.7,4.0,60.0,06:26:52,17:54:52,0.38,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"['48823099999', '48820099999']",2,2000,16,2
"Hà Nội, Việt Nam",2000-02-17,16.4,13.1,14.0,16.4,13.1,14.0,14.0,99.9,0.9,100.0,8.33,['rain'],0.0,0.0,33.5,31.899999999999995,32.0,,100.0,4.5,112.5,9.7,4.0,60.0,06:26:15,17:55:22,0.41,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"['48823099999', '48820099999']",2,2000,17,3
"Hà Nội, Việt Nam",2000-02-18,18.7,15.1,17.1,18.7,15.1,17.1,17.0,99.5,1.0,100.0,8.33,['rain'],0.0,0.0,33.5,7.2,83.7,,100.0,1.7,112.5,9.7,4.0,60.0,06:25:37,17:55:51,0.45,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"['48823099999', '48820099999']",2,2000,18,4
"Hà Nội, Việt Nam",2000-02-19,25.6,17.1,19.4,25.6,17.1,19.4,18.7,96.3,0.6,100.0,8.33,['rain'],0.0,0.0,33.5,14.4,224.1,,92.1,2.4,112.5,9.7,4.0,60.0,06:24:59,17:56:20,0.5,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"['48823099999', '48820099999']",2,2000,19,5
"Hà Nội, Việt Nam",2000-02-20,28.1,19.1,22.1,30.2,19.1,22.2,20.9,93.6,0.7,100.0,4.17,['rain'],0.0,0.0,33.5,25.2,119.6,,91.9,2.1,112.5,9.7,4.0,60.0,06:24:19,17:56:48,0.52,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"['48820099999', '48823099999']",2,2000,20,6
"Hà Nội, Việt Nam",2000-02-21,17.1,15.9,16.3,17.1,15.9,16.3,16.2,99.3,1.5,100.0,8.33,['rain'],0.0,0.0,33.5,20.4,70.5,,100.0,3.2,112.5,9.7,4.0,60.0,06:23:39,17:57:16,0.55,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"['48823099999', '48820099999']",2,2000,21,0
"Hà Nội, Việt Nam",2000-02-22,19.1,15.7,17.0,19.1,15.7,17.0,16.4,96.5,0.6,100.0,8.33,['rain'],0.0,0.0,33.5,14.4,65.8,,97.8,5.0,112.5,9.7,4.0,60.0,06:22:58,17:57:43,0.58,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"['48823099999', '48820099999']",2,2000,22,1
"Hà Nội, Việt Nam",2000-02-23,19.7,15.7,17.5,19.7,15.7,17.5,15.5,88.5,1.7,100.0,8.33,['rain'],0.0,0.0,33.5,25.2,63.8,,96.1,8.0,112.5,9.7,4.0,60.0,06:22:15,17:58:10,0.61,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"['48823099999', '48820099999']",2,2000,23,2
"Hà Nội, Việt Nam",2000-02-24,16.1,14.1,15.2,16.1,14.1,15.2,13.6,90.5,1.5,100.0,8.33,['rain'],0.0,0.0,33.5,25.2,47.0,,99.4,8.4,112.5,9.7,4.0,60.0,06:21:33,17:58:37,0.65,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"['48823099999', '48820099999']",2,2000,24,3
"Hà Nội, Việt Nam",2000-02-25,17.1,12.9,14.7,17.1,12.9,14.7,11.9,83.7,4.2,100.0,12.5,['rain'],0.0,0.0,33.5,18.3,19.0,,99.4,9.1,112.5,9.7,4.0,60.0,06:20:49,17:59:03,0.68,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"['48823099999', '48820099999']",2,2000,25,4
